 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.77744E+01      -0.38477E-05       0.26203E+00       0.34453E+00      -0.27005E+00       0.13065E+01
      0      1      -0.31994E+01      -0.39325E-06      -0.92005E+00       0.72277E+01      -0.43080E+00       0.16191E+01
      0      1       0.40706E+01      -0.38850E-05      -0.15469E+00       0.15317E+01      -0.28681E+00      -0.84318E+00
      0      1      -0.75016E+01      -0.53779E-06       0.15491E+00       0.41594E+00       0.29414E-01       0.41413E+01
      0      1      -0.32914E+01      -0.47111E-05      -0.10896E+00       0.32869E+01      -0.42621E+00      -0.13801E+00
      0      1       0.59085E+01      -0.32267E-05       0.27115E-02      -0.72414E+00       0.40173E-02      -0.44904E+01
      0      1       0.37754E+01      -0.17058E-05      -0.50411E+00       0.37966E+01      -0.23219E+00       0.34558E+00
      0      1      -0.40308E+01       0.14795E-05       0.19268E+00       0.17651E+01       0.26621E+00      -0.12605E+00
      0      1       0.45394E+01      -0.50351E-05       0.41815E+00      -0.65712E+01       0.47301E+00       0.25298E+01
      0      1       0.48752E+01      -0.28026E-05      -0.24244E+00      -0.49183E+00      -0.80168E+00       0.89925E+01
      0      1       0.16825E+00      -0.20419E-05       0.60423E-01      -0.19035E+00      -0.13149E+00      -0.39226E+01
      0      1      -0.73169E+01       0.25146E-05      -0.38203E+00      -0.44238E+01      -0.23522E+00       0.12287E+01
      0      1       0.18913E+01       0.20523E-05       0.21317E+00      -0.76955E+00      -0.34195E-01      -0.40392E+01
      0      1      -0.34281E+01       0.80765E-06       0.26630E+00       0.15571E+01      -0.37854E+00       0.52679E+00
      0      1      -0.58778E+01      -0.51636E-05      -0.22023E-01      -0.52738E+01      -0.21478E+00       0.33725E+00
      0      1       0.27838E+00       0.30142E-05       0.23782E+00      -0.13994E+01       0.10645E+00       0.52364E+01
      0      1       0.45268E+01       0.27835E-05       0.25979E+00      -0.95935E+00       0.55700E+00      -0.89580E+01
      0      1       0.65972E+01       0.28509E-05       0.13063E+00       0.28094E+01      -0.86768E-02       0.12090E+01
      0      1       0.29582E+01      -0.26237E-05      -0.80088E+00       0.49139E+01       0.81502E-01      -0.87279E+00
      0      1       0.14265E+01      -0.13971E-05       0.37013E+00      -0.14309E+00      -0.10458E+00      -0.40244E+01
      0      1      -0.13635E+01      -0.14598E-05      -0.14106E+00       0.15738E+01       0.60803E+00      -0.48124E+00
      0      1      -0.10364E+02      -0.47651E-05       0.17464E+00      -0.73653E+01       0.64865E+00      -0.57759E+01
      0      1       0.10974E+02      -0.17501E-07      -0.26723E+00       0.18659E+01       0.11644E+00       0.12663E+01
      0      1      -0.53564E+00      -0.40973E-05       0.61941E-01      -0.21730E+01      -0.37256E-01      -0.42872E+00
      0      1       0.20113E+01       0.28432E-05       0.46949E+00       0.60604E+00      -0.53954E-03       0.24338E+00
      0      1      -0.57179E+00      -0.14577E-05      -0.63182E+00       0.25328E+01      -0.69022E+00       0.71580E+01
      0      1      -0.20644E+01      -0.33476E-05       0.50094E+00       0.95845E+00      -0.90159E+00       0.97203E+01
      0      1      -0.73274E+01      -0.47022E-06      -0.89347E+00       0.33193E+01       0.46581E-01       0.53327E+01
